1-19859949479,JOHOR,ZONE SEGAMAT / MUAR,stb sub rosak .no waranty [Q005293 @ 08/27/2018 10:47:32 am]  a [Q005293 @ 08/27/2018 10:46:32 am]  [MA] tm  [Added By K22839 27/08/2018 08:50:51 AM] SN/Login ID:  00609540613/ chinthoeModem Warranty:  NoAccount Status: ACTIVEProblem: Eror Code 108004Perf
1-19850799408,JOHOR,ZONE PANDAN,System generated comments
1-19850412966,JOHOR,ZONE SENAI,wiring cust problem [Q004497 @ 08/27/2018 10:46:17 AM]  . [Q004497 @ 08/26/2018 03:47:05 PM]  . [Q004497 @ 08/26/2018 12:05:46 PM]  . [Q004497 @ 08/24/2018 01:52:30 PM]  appt [Q004497 @ 08/24/2018 10:36:29 AM]  . [Q004497 @ 08/24/2018 10:36:03 AM]  [MA] M
1-19860578046,JOHOR,ZONE PELANGI,tel rosak [Q004518 @ 08/27/2018 10:43:25 AM]  z [Q004518 @ 08/27/2018 10:42:18 AM]  [MA] . [Added By TM34596 27/08/2018 08:35:53 AM] [MA] // [Added By B16422 26/08/2018 03:46:03 PM] [MA] // [Added By B16422 26/08/2018 03:45:51 PM] Service No:00702525364Pr
1-19857250940,JOHOR,ZONE SENAI,pelanggan nk beli modem sendiri yg ada antena [Q004813 @ 08/27/2018 11:00:37 AM]   [Q004813 @ 08/26/2018 02:40:58 PM]  [MA]  [Added By B17635 26/08/2018 10:35:15 AM] [MA]  [Added By B17635 26/08/2018 10:34:56 AM] apppt[Q004813 @ 08/26/2018 08:50:07 AM]
1-19860840483,JOHOR,ZONE SEGAMAT / MUAR,cust iw soket rosak... [Q004595 @ 08/27/2018 11:00:52 AM]  ip [Q004595 @ 08/27/2018 08:50:19 AM]  ip [Q004595 @ 08/26/2018 05:07:29 PM]  Voice Down
1-19863122057,JOHOR,ZONE BATU PAHAT,splitter sub rosak ; test line OK tiada masalah [Q005508 @ 08/27/2018 11:24:30 AM]  h [Q005508 @ 08/27/2018 11:23:43 AM]  NO PERKHIDMATAN    :  00704292789  NI LOGIN           :    NO AKAUN           :  U600277056001  NAMA PELANGGAN     :  T MUHAMMAD AUW
1-19860907226,JOHOR,ZONE PANDAN,x [TM30568 @ 08/27/2018 11:23:24 AM]   [MA] x [Added By B14834 27/08/2018 09:15:42 AM] [MA] x [Added By B14834 27/08/2018 08:35:08 AM] appt[Q003875 @ 08/26/2018 07:04:01 PM] ..[Q003875 @ 08/26/2018 07:03:27 PM] Service No: 00903238849Problem: DEL No dial
1-19860667138,JOHOR,ZONE SKUDAI / PONTIAN,System generated comments
1-19862255318,JOHOR,ZONE SKUDAI / PONTIAN,renew telephone [Q004640 @ 08/27/2018 11:14:18 am]  otw [Q004640 @ 08/27/2018 11:02:23 am]  [MA]   [Added By TM33394 27/08/2018 11:00:22 AM] [MA]   [Added By TM33394 27/08/2018 11:00:04 AM] Service No:00705205467Problem:DEL troubleshooting B Party Cannot
1-19860371046,JOHOR,ZONE SEGAMAT / MUAR,repair joint last point rumah customer [Q004595 @ 08/27/2018 11:14:52 AM]  ip [Q004595 @ 08/27/2018 09:07:40 AM]  [MA] ma [Added By K15409 27/08/2018 08:54:22 AM]  [MA] ip [Added By K15409 26/08/2018 06:34:57 PM] [MA] ma [Added By K15409 26/08/2018 02:33:
1-19861237584,JOHOR,ZONE BATU PAHAT,telefon cust rosak [K18211 @ 08/27/2018 11:11:23 AM]  . [K18211 @ 08/27/2018 11:09:07 AM]  [MA]   [Added By K17676 27/08/2018 08:47:59 AM] Service No:00704311569Problem: No Dial TonePrevious TT Remarks:CAMS/ICP status:20SEF code:Residential (R10)If Custo
1-19861237453,JOHOR,ZONE SEGAMAT / MUAR,repair last point customers [Q004521 @ 08/27/2018 11:10:46 AM]  ip [Q004521 @ 08/27/2018 08:57:12 AM]  [MA] mas [Added By K15409 27/08/2018 08:50:25 AM] Service No:00709263261Problem: No Dial TonePrevious TT Remarks:CAMS/ICP status:20SEF code:Residential
1-19860131842,JOHOR,ZONE PELANGI,spliter and cord wire faulty; adv sub [Q004489 @ 08/27/2018 11:08:03 AM]  otw [Q004489 @ 08/27/2018 08:26:09 AM]  [MA] // [Added By B16422 27/08/2018 07:56:12 AM] TROUBLESHOOTING / ADVISE : Assist customer on dsl offOUTCOME & COMMENT : Create TT========
1-19860578354,JOHOR,ZONE SEGAMAT / MUAR,splitter pelanggan rosak... minta pelanggan tukar splitter baru [Q004600 @ 08/27/2018 02:18:37 PM]  ip [Q004600 @ 08/27/2018 01:41:24 PM]  temujanji [Q004600 @ 08/27/2018 11:55:32 AM]  ip [Q004600 @ 08/27/2018 09:52:11 AM]  [MA] ma [Added By K15409 26/08/
1-19861143988,JOHOR,ZONE SEGAMAT / MUAR,wiring pelanggan rosak... minta pelanggan tukar wiring baruu [Q004600 @ 08/27/2018 11:43:12 AM]  ip [Q004600 @ 08/27/2018 11:41:43 AM]  [MA] ma [Added By K15409 27/08/2018 08:52:11 AM] [MA] ma [Added By K15409 27/08/2018 08:51:50 AM] Service No: 007094342
1-19860212768,JOHOR,ZONE PANDAN,sub want to buy ourself [Q003881 @ 08/27/2018 12:11:39 PM]  . [Q003881 @ 08/27/2018 09:28:14 AM]  appt [Q003881 @ 08/26/2018 05:47:27 PM]  .... [Q003881 @ 08/26/2018 05:27:16 PM]  [MA] tt [Added By TM32411 26/08/2018 05:20:24 PM] =========================
1-19860372840,JOHOR,ZONE PELANGI,modem rosak beli luar [Q004509 @ 08/27/2018 12:07:43 PM]  .. [Q004509 @ 08/27/2018 12:07:18 PM]  [MA] . [Added By TM34596 27/08/2018 08:35:00 AM] SN/Login : majid60Modem Warranty: NoAccount Status: ACTIVEProblem: DSL Stable Comment: Request O&M to check.
1-19854916856,JOHOR,ZONE KOTA TINGGI,telefon 2 biji rosak [TM34568 @ 08/27/2018 12:04:58 PM]  sedang [TM34568 @ 08/27/2018 11:17:48 AM]  [MA]   [Added By K20303 27/08/2018 08:45:31 AM] [MA]   [Added By K20303 26/08/2018 03:05:22 PM] Customer Name: ROKIAH BINTI AUYOBContact No : 01121732617Te
1-19858687819,JOHOR,ZONE SENAI,cust splitter rosak..10239/638 att 6/2 snr 25.4/23.1 [Q004602 @ 08/27/2018 12:03:38 PM]  . [Q004602 @ 08/26/2018 04:37:01 PM]  [MA] assigned [Added By B17635 26/08/2018 02:36:56 PM] Troubleshooting/Advice: ** Assist customer with DEL troubleshooting     7
1-19861138526,JOHOR,ZONE PANDAN,splitter problem. cust beli sendiri [Q005591 @ 08/27/2018 12:01:07 PM]  ... [Q005591 @ 08/27/2018 11:12:58 AM]  [MA] x [Added By B14834 27/08/2018 09:47:39 AM] Service No: 00708617781Problem: NDTPrevious TT Remarks:CAMS/ICP status:ActiveSEF code:If Custo
1-19840065072,JOHOR,ZONE BATU PAHAT,modem cust. rosak. [TM32974 @ 08/27/2018 11:58:21 AM]  otw [TM32974 @ 08/27/2018 09:42:57 AM]  esok [TM32974 @ 08/26/2018 03:07:49 PM]  otw [TM32974 @ 08/26/2018 11:02:13 AM]  kena masuk ckp dgn rno [TM32974 @ 08/25/2018 01:37:11 PM]  otw [TM32974 @ 08/25
1-19861982258,JOHOR,ZONE TAMPOI,modem by sub [Q005530 @ 08/27/2018 01:47:56 PM]  otw [Q005530 @ 08/27/2018 12:55:38 PM]  [MA] a [Added By B15824 27/08/2018 12:51:23 PM] SN/Login ID: sivasaro@streamyx Modem Warranty: YesAccount Status: ACTIVEProblem: DSL_CantLoginDTDSLBlinkPortResetComme
1-19863314402,JOHOR,ZONE BATU PAHAT,repair last point putus... [Q004499 @ 08/27/2018 01:47:40 PM]  b [Q004499 @ 08/27/2018 12:55:38 PM]  [MA]   [Added By K22545 27/08/2018 12:00:07 PM] SN/Login ID: 00704276099 / ting6702Modem Warranty: NoAccount Status: ACTIVEProblem: wire snapComment: Requ
1-19861143930,JOHOR,ZONE SKUDAI / PONTIAN,"ciw by sub... repair last point [Q004494 @ 08/27/2018 01:46:31 PM]  .. [Q004494 @ 08/27/2018 01:12:16 PM]  SN/Login ID	:  00706995743 / chenmy@unifi Modem Warranty	: Yes  Account Status	: ACTIVE  /TOS  Problem:  DSL_CantLoginDTDSLUpPortRst_NW  Performance"
1-19847286235,JOHOR,ZONE PANDAN,new [Q003875 @ 08/27/2018 01:43:46 PM]   [MA] x [Added By B14834 27/08/2018 09:10:59 AM] [MA] x [Added By B14834 27/08/2018 09:01:54 AM] [MA] x [Added By B14834 27/08/2018 08:46:40 AM] x[TM30568 @ 08/26/2018 06:06:49 PM]  [MA] . [Added By M11517 26/08/201
1-19860840885,JOHOR,ZONE SEGAMAT / MUAR,rejoint last point...repair cust socket...tested OK...snr 24/24... [B17483 @ 08/27/2018 01:41:36 PM]   [MA] ip [Added By B17483 27/08/2018 09:03:45 AM] [MA] na [Added By K15409 27/08/2018 08:43:53 AM]  [MA] ip [Added By K15409 26/08/2018 06:25:05 PM] [MA]
1-19861309468,JOHOR,ZONE KLUANG/MERSING,sub by sub. cust ingin beli modem sendiri [Q004574 @ 08/27/2018 01:35:06 PM]  . [Q004574 @ 08/27/2018 01:34:14 PM]  Tel & Internet Connection Failure
1-19858528493,JOHOR,ZONE KLUANG/MERSING,tel by sub [Q004574 @ 08/27/2018 01:32:57 PM]  tt [Q004574 @ 08/27/2018 10:17:03 AM]  [MA] Gobi/Hafiz [Added By B12794 27/08/2018 09:36:39 AM] appointment[Q004571 @ 08/27/2018 08:42:55 am] ip[Q004571 @ 08/26/2018 12:18:25 pm] Service No:00707762599 Proble
1-19859726793,JOHOR,ZONE SEGAMAT / MUAR,test last point TM tone OK; minta customer panggil vendor check alat dan line key phone. [K21858 @ 08/27/2018 01:08:39 PM]  ip [K21858 @ 08/27/2018 09:35:35 AM]  [MA] ma [Added By K15409 27/08/2018 08:42:12 AM]  [MA] Ip [Added By K15409 26/08/2018 05:04:5
1-19862193006,JOHOR,ZONE BATU PAHAT,repair dropwire [K22724 @ 08/27/2018 12:56:19 PM]  x [K22724 @ 08/27/2018 10:38:34 AM]  [MA]   [Added By K22545 27/08/2018 09:15:23 AM] [MA]   [Added By K22545 27/08/2018 09:14:42 AM] Service No:00704386544Problem:No Dial Tone & streamyx down Previous TT
1-19860247578,JOHOR,ZONE TAMPOI,internal wiring missing [Q004483 @ 08/27/2018 12:53:20 PM]  otw [Q004483 @ 08/27/2018 09:39:58 AM]  [MA] z [Added By B15824 27/08/2018 08:37:33 AM] [MA] . [Added By B15824 26/08/2018 02:59:33 PM] Service No:00702234872Problem: DEL no dial tonePrevious TT
1-19860555983,JOHOR,ZONE BATU PAHAT,splitter Dan socket customer faulty.. [K23526 @ 08/27/2018 12:36:52 PM]  p [K23526 @ 08/27/2018 10:56:16 AM]  [MA]   [Added By K17676 27/08/2018 08:58:46 AM] NO PERKHIDMATAN    :  00704151681NI LOGIN           :  NO AKAUN           :  Y102548400109NAMA P
1-19861328270,JOHOR,ZONE TAMPOI,splitter by sub. [Q005527 @ 08/27/2018 12:35:05 PM]     [Q005527 @ 08/27/2018 12:34:30 PM]  [MA] s [Added By B15824 27/08/2018 08:40:58 AM] Service No: 00702375609Problem: NO DIAL TONE & STX DOWNPrevious TT Remarks: NACAMS/ICP status: ACTIVESEF code:  Ph
1-19863182569,JOHOR,ZONE PELANGI,tukar soket [Q005499 @ 08/27/2018 12:33:40 PM]  . [Q005499 @ 08/27/2018 12:12:39 PM]  [MA] . [Added By TM34596 27/08/2018 11:38:18 AM] Troubleshooting/Advise: Assist customer on NDT Outcome & comment: create sr and ctt Special Remarks / Additional Advis
1-19860944529,JOHOR,ZONE PANDAN,socket problem. cust beli sendiri [Q005591 @ 08/27/2018 03:16:40 PM]  ... [Q005591 @ 08/27/2018 10:12:34 AM]  [MA] x [Added By B14834 27/08/2018 09:46:21 AM] [MA] x [Added By B14834 27/08/2018 09:31:26 AM] TROUBLESHOOTING / ADVISE : Assist customer on no
1-19863389862,JOHOR,ZONE BATU PAHAT,telefon rosak [Q004586 @ 08/27/2018 03:16:09 PM]  otw [Q004586 @ 08/27/2018 02:54:00 PM]  ++++++++++++++++++++++++++++++++++ Troubleshooting advice  * Assisted on no dial tone troubleshooting   Outcome and comment  * Create TT /CTT /Assigned SRF to dedic
1-19602257425,JOHOR,ZONE SKUDAI / PONTIAN,call aub kata tiada buat report [Q005323 @ 08/27/2018 03:16:50 PM]   [MA] q [Added By K15946 27/08/2018 02:03:00 PM] [MA] N [Added By K15946 27/08/2018 10:57:32 AM] [MA] s [Added By K15946 27/08/2018 09:17:31 AM] Troubleshooting/Advice:  Assist customer
1-19858483412,JOHOR,ZONE KLUANG/MERSING,[Test Type:Verify STX];[Test Status:Successful];[User ID:];[Session Start Time:27/08/2018 09:59:44]reset port/configur wifi [Q004578 @ 08/27/2018 04:34:17 PM]  ip [Q004578 @ 08/27/2018 03:32:46 PM]  [MA] MUHAMAD FAIZUL RITONGGA BIN HUSSEN  Cuti.Amirul/Az
1-19860032798,JOHOR,ZONE KLUANG/MERSING,alat rosak  [Q004574 @ 08/27/2018 03:06:47 PM]  ip [Q004574 @ 08/27/2018 01:00:16 PM]  [MA] Gobi [Added By B12794 27/08/2018 11:22:02 AM]  [MA] Ip [Added By B12794 27/08/2018 11:14:54 AM] [MA] AZMI BIN AZRIZAL Baiki TT UNIFI.Gobi/Hafiz [Added By B12794 27
1-19860642079,JOHOR,ZONE SEGAMAT / MUAR,Rj11 rosak... tukarkan rj11 baru dah okayyy... [Q004600 @ 08/27/2018 02:56:29 PM]  ip [Q004600 @ 08/27/2018 09:14:44 AM]  temujanji [Q004600 @ 08/26/2018 05:13:39 PM]  ip [Q004600 @ 08/26/2018 05:13:16 PM]  [MA] ma [Added By K15409 26/08/2018 03:25:41 PM]
1-19858253541,JOHOR,ZONE KLUANG/MERSING,ADSL splitter out [Q004572 @ 08/27/2018 02:52:52 PM]  tt [Q004572 @ 08/27/2018 10:09:30 AM]  reappointment [Q004572 @ 08/27/2018 09:03:28 AM]  tt [Q004572 @ 08/26/2018 02:50:14 PM]  [MA] MUHAMAD AZRIE BIN AZNI [Added By TM35186 26/08/2018 02:34:03 PM] Tel
1-19859829219,JOHOR,ZONE SEGAMAT / MUAR,sub sudah potong line telefon Dan tidal menggunakn lagi...tq [Q004484 @ 08/27/2018 02:52:59 PM]     [Q004484 @ 08/27/2018 01:34:38 PM]  appt ptg [Q004484 @ 08/27/2018 10:34:14 AM]  o [Q004484 @ 08/27/2018 09:35:37 AM]  [MA] tt [Added By K25835 27/08/2018
1-19864097998,JOHOR,ZONE BATU PAHAT,repair last point [Q004499 @ 08/27/2018 02:52:01 PM]    [Q004499 @ 08/27/2018 02:08:56 PM]  Service No: 00704531407 Problem: telephone line NDT  Previous TT Remarks: CAMS/ICP status: active SEF code: If Customer Call Back:Request O&M to check. Thank you
1-19860406306,JOHOR,ZONE BATU PAHAT,Rejoint wiring at junction box by Midon yp [K18214 @ 08/27/2018 02:12:52 PM]  [MA]   [Added By K17676 27/08/2018 09:02:36 AM] [MA]   [Added By K17676 27/08/2018 09:01:49 AM] Service No:00704675864Problem:no dial tonePrevious TT Remarks:CAMS/ICP status:act
1-19860891583,JOHOR,ZONE BATU PAHAT,Customers internal wiring rosak adv CUs.tukar wiring baru. [K25981 @ 08/27/2018 02:44:17 PM]  p [K25981 @ 08/27/2018 09:35:28 AM]  [MA]   [Added By K17676 27/08/2018 08:50:48 AM] Service No:00704326022Problem:NDT + STX downCAMS/ICP status:ActiveIf Custome
1-19862752473,JOHOR,ZONE BATU PAHAT,Customer salah repot no.talipon lain yang rosak. [K25981 @ 08/27/2018 02:37:52 PM]  p [K25981 @ 08/27/2018 11:29:09 AM]  [MA]   [Added By K22545 27/08/2018 10:31:28 AM] Service No:00704337177Problem: ndtPrevious TT Remarks:CAMS/ICP status:activeSEF code:
1-19864130243,JOHOR,ZONE KLUANG/MERSING,ciw out; doket berulang disebabkan maslah yg sama [Q004572 @ 08/27/2018 03:41:28 PM]  tt [Q004572 @ 08/27/2018 02:38:57 PM]  [MA] MUHAMAD AZRIE BIN AZNI [Added By B12794 27/08/2018 02:32:58 PM] Troubleshooting/Advice: ** Assist customer on Frequent Discon
1-19862259853,JOHOR,ZONE SKUDAI / PONTIAN,repair iw by sub [Q004815 @ 08/27/2018 02:31:09 pm]  .. [Q004815 @ 08/27/2018 02:03:13 pm]  [MA]   [Added By TM30686 27/08/2018 11:02:52 AM] [MA] .. [Added By B14321 27/08/2018 10:46:51 AM] [MA] .. [Added By B14321 27/08/2018 09:53:51 AM] Service Number /
1-19859746753,JOHOR,ZONE SKUDAI / PONTIAN,sub cari contrator [K23632 @ 08/27/2018 02:16:28 pm]  p [K23632 @ 08/27/2018 08:45:23 am]   [MA] .. [Added By B14321 26/08/2018 05:28:35 PM] [MA] .. [Added By B14321 26/08/2018 02:31:53 PM] Service No: 00706903339Problem: DSL_nodialtonePrevious TT Remarks
1-19862193083,JOHOR,ZONE SKUDAI / PONTIAN,sub nak beli modem luar .... modem tm tiade antena [Q005323 @ 08/27/2018 01:58:00 PM]      [Q005323 @ 08/27/2018 01:56:37 PM]  [MA] d [Added By K15946 27/08/2018 09:19:07 AM] SN/Login ID: vasugi76Modem Warranty: NoAccount Status: ACTIVEProblem: DSL_Modem
1-19864525057,JOHOR,ZONE SEGAMAT / MUAR,moderm  pelanggan rosak..tiada warenti..pelanggan pilih untuk beli sendiri [Q004521 @ 08/27/2018 04:17:25 PM]  ip [Q004521 @ 08/27/2018 04:08:23 PM]  Service No:00709262100 Problem:NDT Previous TT Remarks:no CAMS/ICP status:active SEF code: If Customer Ca
1-19860665772,JOHOR,ZONE PELANGI,MDM ter reset [Q005500 @ 08/27/2018 04:01:21 PM]  otw [Q005500 @ 08/27/2018 03:51:51 PM]  [MA] . [Added By TM34596 27/08/2018 09:09:43 AM] SNI/LoginID: 00702551961 / mcjtpProblem:  DSL StablePrevious TT Remarks:CAMS/ICP status:ACT Modem/Phone Under TM Ne
1-19861222293,JOHOR,ZONE BATU PAHAT,chordwire rosak [Q005497 @ 08/27/2018 03:53:26 PM]  m [Q005497 @ 08/27/2018 03:18:52 PM]  [MA]   [Added By K22545 27/08/2018 08:45:07 AM] SN/Login ID:  kerk7478Modem Warranty: Account Status: ACTIVEProblem: DSL STABLEComment: Request O&M to check. Thank
1-19863596264,JOHOR,ZONE KOTA TINGGI,lim seng [Q004581 @ 08/27/2018 03:50:21 PM]  a [Q004581 @ 08/27/2018 03:49:58 PM]  TROUBLESHOOTHING/ADVICES : Assist on DSL Stable   OUTCOME & COMMENTS csp reset port Problem still persist; cre
1-19858253381,JOHOR,ZONE KLUANG/MERSING,premise closed; last point berada di dalam premise; contact no HP salah  0127257636 [Q004572 @ 08/27/2018 03:46:01 PM]  tt [Q004572 @ 08/27/2018 10:14:20 AM]  [MA] MUHAMAD AZRIE BIN AZNI/Halim [Added By B12794 27/08/2018 09:40:05 AM] [MA] r [Added By B127
1-19864440942,JOHOR,ZONE SKUDAI / PONTIAN,phone sub rosak.. test line call in out ok [Q005321 @ 08/27/2018 03:44:43 PM]    [Q005321 @ 08/27/2018 03:03:25 PM]  [MA]   [Added By TM33394 27/08/2018 02:05:11 PM] Service No :00705111813 / lcchuaProblem : OtherPartyCannotHear& Streamyx DownPrevious TT
1-19863919763,JOHOR,ZONE SEGAMAT / MUAR,codwire pelanggan rosak..ganti baru [Q004521 @ 08/27/2018 04:26:02 PM]  inprogress [Q004521 @ 08/27/2018 02:14:30 PM]  ============================================== TROUBLESHOOTING/ ADVISE:  Assist cust onmodem faulty  t/s ==============================
1-19862753899,JOHOR,ZONE SENAI,tukar e side 301 [Q004647 @ 08/27/2018 01:45:13 PM]  [MA] Manual Assignment = [ Success  [Added By K23654 27/08/2018 10:15:46 AM] CVP  Auto Ticket Creation Verification via call to 00706523540 has been successfully done. Please proceed to RESOLVE this TT
1-19864786552,JOHOR,ZONE PELANGI,tel rosak [Q004518 @ 08/27/2018 04:23:01 PM]  e [Q004518 @ 08/27/2018 04:22:37 PM]  *request to change with normal phone set only  *dont want the cordless phone  *cust agree on one off payment  Service number: 00702529580 Problem: phone set faulty Previou
1-19855713986,JOHOR,ZONE PELANGI,wiring restored [B15855 @ 08/27/2018 04:30:56 PM]   [MA] . [Added By TM34596 27/08/2018 10:19:13 AM] [MA] . [Added By K18299 27/08/2018 08:34:45 AM]
1-19862410462,JOHOR,ZONE KLUANG/MERSING,[Test Type:Verify STX];[Test Status:Successful];[User ID:mainp];[Session Start Time:27/08/2018 05:22:29] tukar modem [Q004486 @ 08/27/2018 05:32:34 PM]  a [Q004486 @ 08/27/2018 04:57:40 PM]  [MA] Ezwan [Added By B12794 27/08/2018 11:25:44 AM] [MA] R [Adde
1-19861980106,JOHOR,ZONE KLUANG/MERSING,[Test Type:Verify STX];[Test Status:Successful];[User ID:lamcloy];[Session Start Time:27/08/2018 05:34:09]reset port [Q004578 @ 08/27/2018 05:32:03 PM]  ip [Q004578 @ 08/27/2018 12:48:16 PM]  [MA] MUHAMAD FAIZUL RITONGGA BIN HUSSEN  Cuti.Amirul/Azmeer [A
1-19859802626,JOHOR,ZONE SEGAMAT / MUAR,[Test Type:Verify STX];[Test Status:Successful];[User ID:pohguat2];[Session Start Time:27/08/2018 03:12:22]config modem semula dan reset password...snr 27 port 10236 [Q004496 @ 08/27/2018 03:15:54 PM]    [Q004496 @ 08/27/2018 01:27:28 PM]  [MA] tt [Added
1-19863239633,JOHOR,ZONE SKUDAI / PONTIAN,rebooy modem test line ok.. sub xjwb phone uyk verify [Q005321 @ 08/27/2018 04:38:47 PM]    [Q005321 @ 08/27/2018 03:03:06 PM]  [MA]   [Added By TM33394 27/08/2018 02:04:49 PM] SN/Login ID: mei5420Modem Warranty: NoAccount Status: ACTIVEProblem: DSL stabl
1-19863055711,JOHOR,ZONE SEGAMAT / MUAR,line cord customer rosak. test line OK. [Q004595 @ 08/27/2018 04:41:50 PM]  ip [Q004595 @ 08/27/2018 02:02:29 PM]  [MA] ma [Added By K15409 27/08/2018 12:37:27 PM] Troubleshooting/Advice: ** Assist customer on DEL Technical FaultNo Dial Tone & streamyx d
1-19863614899,JOHOR,ZONE BATU PAHAT,modem customer faulty.. [K23526 @ 08/27/2018 04:43:17 PM]  p [K23526 @ 08/27/2018 03:54:39 PM]  Troubleshoot  :  Assist Customer on DSL OFF ============================================ Outcome / Comment  :  Create TT ====================================
1-19864712011,JOHOR,ZONE SEGAMAT / MUAR,tel under warranty [Q004313 @ 08/27/2018 04:40:44 PM]  otw [Q004313 @ 08/27/2018 04:33:29 PM]  [MA] tt [Added By K25835 27/08/2018 03:05:50 PM] Repeated Fault
1-19864660350,JOHOR,ZONE BATU PAHAT,[Test Type:Verify STX];[Test Status:Successful];[User ID:m_din60];[Session Start Time:27/08/2018 05:42:52] tukar pair di tail DP. snr 18 att 51 buka 1021. [TM32974 @ 08/27/2018 05:45:34 PM]  otw [TM32974 @ 08/27/2018 04:42:12 PM]  [MA]   [Added By K17676
1-19864712072,JOHOR,ZONE KLUANG/MERSING,masalah telephone plgan [Q004486 @ 08/27/2018 04:42:25 PM]  e [Q004486 @ 08/27/2018 04:40:25 PM]  Telephony tiada nada tone
1-19863248701,JOHOR,ZONE SEGAMAT / MUAR,iw sub rosak ..da advc sub untk rewire semula ..sub akan tukar sendiri [Q004496 @ 08/27/2018 04:43:56 PM]    [Q004496 @ 08/27/2018 02:43:01 PM]  [MA] tm [Added By K22839 27/08/2018 02:33:27 PM] Service No:00609872958Problem:dt NDTPrevious TT Remarks:CAMS/
1-19861505838,JOHOR,ZONE KLUANG/MERSING,Ah [Q004479 @ 08/27/2018 05:16:09 PTG]  Service No:00707877044  Problem: No Dial Tone Previous TT Remarks: CAMS/ICP status:20 SEF code: If Customer Call Back:Request O&M to check. Thank you   if  splinter need change ( cust require is new splinter ) Veri
1-19865122601,JOHOR,ZONE KLUANG/MERSING,[Test Type:Verify STX];[Test Status:Successful];[User ID:gon_tai];[Session Start Time:27/08/2018 04:06:15] configer modem [Q004486 @ 08/27/2018 05:50:24 PM]  a [Q004486 @ 08/27/2018 05:49:37 PM]  [MA] EZWAN [Added By B12794 27/08/2018 04:26:08 PM] SN/Logi
